"gbifID","species","longitude","latitude","year","month","day","countryCode","accepted_name"
"3427543337","Occidryas chalcedona",-121.798622,50.650137,2020,6,25,"CA","Euphydryas chalcedona"
"3427506476","Occidryas chalcedona",-122.153431,50.368816,2016,8,24,"CA","Euphydryas chalcedona"
"3427428901","Occidryas chalcedona",-119.337673,50.03322,2015,5,28,"CA","Euphydryas chalcedona"
"3427428027","Occidryas chalcedona",-121.504932,49.376187,2015,6,4,"CA","Euphydryas chalcedona"
"3427500659","Occidryas chalcedona",-119.37057,49.1292799990668,2014,6,30,"CA","Euphydryas chalcedona"
"3427431703","Occidryas chalcedona",-119.37057,49.1292799990668,2014,7,5,"CA","Euphydryas chalcedona"
"3427499694","Occidryas chalcedona",-119.36019,49.018137,2014,7,11,"CA","Euphydryas chalcedona"
"3427498322","Occidryas chalcedona",-119.610007,49.4526849990684,2013,6,11,"CA","Euphydryas chalcedona"
"3397523397","Occidryas chalcedona",-124.498719,51.664202,2012,7,17,"CA","Euphydryas chalcedona"
"3427430301","Occidryas chalcedona",-119.552925,49.056058,2012,7,11,"CA","Euphydryas chalcedona"
"3427426304","Occidryas chalcedona",-119.552925,49.056058,2011,6,26,"CA","Euphydryas chalcedona"
"3427495301","Occidryas chalcedona",-119.552925,49.056058,2011,6,26,"CA","Euphydryas chalcedona"
"2466445562","Occidryas chalcedona",-133.725556,60.058611,2009,6,21,"CA","Euphydryas chalcedona"
"3397352561","Occidryas chalcedona",-114.619836,49.360264,2007,7,20,"CA","Euphydryas chalcedona"
"2570273131","Occidryas chalcedona",-121.93,50.68,2003,6,27,"CA","Euphydryas chalcedona"
"2570273694","Occidryas chalcedona",-121.93,50.68,2003,6,27,"CA","Euphydryas chalcedona"
"2570274174","Occidryas chalcedona",-121.93,50.68,2003,6,27,"CA","Euphydryas chalcedona"
"2570274308","Occidryas chalcedona",-121.93,50.68,2003,6,27,"CA","Euphydryas chalcedona"
"42851990","Occidryas chalcedona",-133.583333,59.45,1999,6,22,"CA","Euphydryas chalcedona"
"2466483639","Occidryas chalcedona",-133.916667,59.416667,1999,7,2,"CA","Euphydryas chalcedona"
"43211422","Occidryas chalcedona",-133.6,59.4833,1999,NA,NA,"CA","Euphydryas chalcedona"
"43211430","Occidryas chalcedona",-133.6,59.4833,1999,NA,NA,"CA","Euphydryas chalcedona"
"43211554","Occidryas chalcedona",-133.6,59.4833,1999,NA,NA,"CA","Euphydryas chalcedona"
"43211561","Occidryas chalcedona",-129.5333,56.1,1999,NA,NA,"CA","Euphydryas chalcedona"
"43210640","Occidryas chalcedona",-121.6833,49.1833,1998,NA,NA,"CA","Euphydryas chalcedona"
"43703640","Occidryas chalcedona",-114.8333,50.5167,1995,7,31,"CA","Euphydryas chalcedona"
"150013011","Occidryas chalcedona",-114.08,50.52,1995,7,31,"CA","Euphydryas chalcedona"
"42703035","Occidryas chalcedona",-117.3833,52.9167,1989,6,30,"CA","Euphydryas chalcedona"
"3397375355","Occidryas chalcedona",-110.148926,49.640956,1988,7,9,"CA","Euphydryas chalcedona"
"3397526731","Occidryas chalcedona",-110.148926,49.640956,1988,7,9,"CA","Euphydryas chalcedona"
"43181855","Occidryas chalcedona",-117.3833,52.9167,1987,7,13,"CA","Euphydryas chalcedona"
"42847181","Occidryas chalcedona",-121.583333,50.3,1983,7,5,"CA","Euphydryas chalcedona"
"42703031","Occidryas chalcedona",-114.5167,50.2,1980,7,14,"CA","Euphydryas chalcedona"
"42849248","Occidryas chalcedona",-121.133333,49.666667,1979,7,22,"CA","Euphydryas chalcedona"
"42847564","Occidryas chalcedona",-121.583333,50.3,1978,7,5,"CA","Euphydryas chalcedona"
"42847569","Occidryas chalcedona",-121.583333,50.3,1978,7,5,"CA","Euphydryas chalcedona"
"42847574","Occidryas chalcedona",-121.583333,50.3,1978,7,5,"CA","Euphydryas chalcedona"
"42847596","Occidryas chalcedona",-121.583333,50.3,1978,7,5,"CA","Euphydryas chalcedona"
"42849243","Occidryas chalcedona",-121.516667,49.633333,1978,7,19,"CA","Euphydryas chalcedona"
"42849245","Occidryas chalcedona",-121.516667,49.633333,1978,7,19,"CA","Euphydryas chalcedona"
"42849252","Occidryas chalcedona",-122.583333,51.116667,1978,7,28,"CA","Euphydryas chalcedona"
"42849257","Occidryas chalcedona",-122.616667,51.15,1978,7,28,"CA","Euphydryas chalcedona"
"42999071","Occidryas chalcedona",-119.9167,49.3833,1978,7,8,"CA","Euphydryas chalcedona"
"42849206","Occidryas chalcedona",-123,50.6,1978,8,7,"CA","Euphydryas chalcedona"
"42347236","Occidryas chalcedona",-114.3167,49.2833,1977,6,26,"CA","Euphydryas chalcedona"
"42703040","Occidryas chalcedona",-121.6837,50.9833,1977,7,9,"CA","Euphydryas chalcedona"
"42849261","Occidryas chalcedona",-121.683333,49.183333,1977,7,27,"CA","Euphydryas chalcedona"
"42849274","Occidryas chalcedona",-121.683333,49.183333,1977,7,27,"CA","Euphydryas chalcedona"
"42849279","Occidryas chalcedona",-121.683333,49.183333,1977,7,27,"CA","Euphydryas chalcedona"
"42849281","Occidryas chalcedona",-121.683333,49.183333,1977,7,27,"CA","Euphydryas chalcedona"
